"million env steps","PRETRAIN_FINAL_RUN - _step","PRETRAIN_FINAL_RUN - _step__MIN","PRETRAIN_FINAL_RUN - _step__MAX","PRETRAIN_FINAL_RUN - particle reward unnormalized","PRETRAIN_FINAL_RUN - particle reward unnormalized__MIN","PRETRAIN_FINAL_RUN - particle reward unnormalized__MAX"
"0.806896","53362","53362","53362","0.034128885716199875","0.034128885716199875","0.034128885716199875"
"0.81816","54107","54107","54107","0.03520209342241287","0.03520209342241287","0.03520209342241287"
"0.818672","54141","54141","54141","0.028705015778541565","0.028705015778541565","0.028705015778541565"
"0.827376","54718","54718","54718","0.03410562127828598","0.03410562127828598","0.03410562127828598"
"0.888816","58789","58789","58789","0.03066020831465721","0.03066020831465721","0.03066020831465721"
"0.908272","60087","60087","60087","0.0364873893558979","0.0364873893558979","0.0364873893558979"
"0.982512","65022","65022","65022","0.033889878541231155","0.033889878541231155","0.033889878541231155"
"0.996336","65938","65938","65938","0.03495994955301285","0.03495994955301285","0.03495994955301285"
"1.022448","67671","67671","67671","0.042742740362882614","0.042742740362882614","0.042742740362882614"
"1.049584","69467","69467","69467","0.05466986075043678","0.05466986075043678","0.05466986075043678"
"1.106416","73237","73237","73237","0.0413992665708065","0.0413992665708065","0.0413992665708065"
"1.127408","74637","74637","74637","0.03605078533291817","0.03605078533291817","0.03605078533291817"
"1.1996","79433","79433","79433","0.05945757403969765","0.05945757403969765","0.05945757403969765"
"1.231856","81590","81590","81590","0.028869563713669777","0.028869563713669777","0.028869563713669777"
"1.235952","81863","81863","81863","0.020909899845719337","0.020909899845719337","0.020909899845719337"
"1.2636","83698","83698","83698","0.057609573006629944","0.057609573006629944","0.057609573006629944"
"1.26616","83867","83867","83867","0.06470713764429092","0.06470713764429092","0.06470713764429092"
"1.267696","83972","83972","83972","0.0719875767827034","0.0719875767827034","0.0719875767827034"
"1.27128","84206","84206","84206","0.06583380699157715","0.06583380699157715","0.06583380699157715"
"1.30456","86409","86409","86409","0.06558109819889069","0.06558109819889069","0.06558109819889069"
"1.308656","86680","86680","86680","0.059242721647024155","0.059242721647024155","0.059242721647024155"
"1.323504","87668","87668","87668","0.061991892755031586","0.061991892755031586","0.061991892755031586"
"1.367536","90579","90579","90579","0.0606338232755661","0.0606338232755661","0.0606338232755661"
"1.376752","91189","91189","91189","0.057254061102867126","0.057254061102867126","0.057254061102867126"
"1.48632","98465","98465","98465","0.08824221044778824","0.08824221044778824","0.08824221044778824"
"1.51448","100333","100333","100333","0.06222846359014511","0.06222846359014511","0.06222846359014511"
"1.538544","101948","101948","101948","0.04082239046692848","0.04082239046692848","0.04082239046692848"
"1.558512","103287","103287","103287","0.02551085688173771","0.02551085688173771","0.02551085688173771"
"1.56056","103424","103424","103424","0.028134165331721306","0.028134165331721306","0.028134165331721306"
"1.561584","103494","103494","103494","0.038030240684747696","0.038030240684747696","0.038030240684747696"
"1.57592","104449","104449","104449","0.08061664551496506","0.08061664551496506","0.08061664551496506"
"1.596912","105844","105844","105844","0.07646452635526657","0.07646452635526657","0.07646452635526657"
"1.681392","111429","111429","111429","0.06921970099210739","0.06921970099210739","0.06921970099210739"
"1.700336","112679","112679","112679","0.09598295390605927","0.09598295390605927","0.09598295390605927"
"1.702896","112850","112850","112850","0.08623053878545761","0.08623053878545761","0.08623053878545761"
"1.72696","114442","114442","114442","0.0985795184969902","0.0985795184969902","0.0985795184969902"
"1.79352","118853","118853","118853","0.09474281221628189","0.09474281221628189","0.09474281221628189"
"1.81144","120041","120041","120041","0.07263930886983871","0.07263930886983871","0.07263930886983871"
"1.842672","122106","122106","122106","0.09198857843875885","0.09198857843875885","0.09198857843875885"
"1.902064","126038","126038","126038","0.11160121858119965","0.11160121858119965","0.11160121858119965"
"1.969136","130475","130475","130475","0.09321732819080353","0.09321732819080353","0.09321732819080353"
"1.991664","131966","131966","131966","0.09509152173995972","0.09509152173995972","0.09509152173995972"
"2.012656","133359","133359","133359","0.08078637719154358","0.08078637719154358","0.08078637719154358"
"2.025968","134239","134239","134239","0.1179693415760994","0.1179693415760994","0.1179693415760994"
"2.05464","136136","136136","136136","0.1145826205611229","0.1145826205611229","0.1145826205611229"
"2.0572","136306","136306","136306","0.1159856915473938","0.1159856915473938","0.1159856915473938"
"2.098672","139048","139048","139048","0.11902207881212234","0.11902207881212234","0.11902207881212234"
"2.12888","141046","141046","141046","0.12608104944229126","0.12608104944229126","0.12608104944229126"
"2.1468","142236","142236","142236","0.10549990087747574","0.10549990087747574","0.10549990087747574"
"2.14936","142407","142407","142407","0.08951082080602646","0.08951082080602646","0.08951082080602646"
"2.161136","143185","143185","143185","0.12142949551343918","0.12142949551343918","0.12142949551343918"
"2.186224","144847","144847","144847","0.09590526670217514","0.09590526670217514","0.09590526670217514"
"2.201584","145863","145863","145863","0.09618502855300903","0.09618502855300903","0.09618502855300903"
"2.21336","146640","146640","146640","0.08860653638839722","0.08860653638839722","0.08860653638839722"
"2.252272","149223","149223","149223","0.09371821582317352","0.09371821582317352","0.09371821582317352"
"2.303472","152613","152613","152613","0.10065292567014694","0.10065292567014694","0.10065292567014694"
"2.307056","152850","152850","152850","0.11103711277246475","0.11103711277246475","0.11103711277246475"
"2.311152","153123","153123","153123","0.09781304001808167","0.09781304001808167","0.09781304001808167"
"2.367984","156891","156891","156891","0.0803348571062088","0.0803348571062088","0.0803348571062088"
"2.372592","157192","157192","157192","0.09006312489509583","0.09006312489509583","0.09006312489509583"
"2.427888","160850","160850","160850","0.09796367585659027","0.09796367585659027","0.09796367585659027"
"2.43608","161393","161393","161393","0.09385701268911362","0.09385701268911362","0.09385701268911362"
"2.452976","162513","162513","162513","0.08370279520750046","0.08370279520750046","0.08370279520750046"
"2.45656","162750","162750","162750","0.08872529119253159","0.08872529119253159","0.08872529119253159"
"2.463728","163224","163224","163224","0.1310662478208542","0.1310662478208542","0.1310662478208542"
"2.5052","165973","165973","165973","0.11541096121072769","0.11541096121072769","0.11541096121072769"
"2.514928","166618","166618","166618","0.12143265455961227","0.12143265455961227","0.12143265455961227"
"2.570736","170310","170310","170310","0.10976020991802216","0.10976020991802216","0.10976020991802216"
"2.579952","170919","170919","170919","0.11162785440683365","0.11162785440683365","0.11162785440683365"
"2.592752","171767","171767","171767","0.07679525017738342","0.07679525017738342","0.07679525017738342"
"2.595312","171933","171933","171933","0.085821233689785","0.085821233689785","0.085821233689785"
"2.615792","173290","173290","173290","0.1035681664943695","0.1035681664943695","0.1035681664943695"
"2.620912","173630","173630","173630","0.11015260219573975","0.11015260219573975","0.11015260219573975"
"2.629104","174172","174172","174172","0.1186157613992691","0.1186157613992691","0.1186157613992691"
"2.675696","177252","177252","177252","0.09634199738502502","0.09634199738502502","0.09634199738502502"
"2.69464","178509","178509","178509","0.08171572536230087","0.08171572536230087","0.08171572536230087"
"2.788336","184710","184710","184710","0.09492097049951553","0.09492097049951553","0.09492097049951553"
"2.846192","188538","188538","188538","0.09131303429603577","0.09131303429603577","0.09131303429603577"
"2.856432","189216","189216","189216","0.061721015721559525","0.061721015721559525","0.061721015721559525"
"2.884592","191075","191075","191075","0.08365228027105331","0.08365228027105331","0.08365228027105331"
"2.889712","191417","191417","191417","0.0874166414141655","0.0874166414141655","0.0874166414141655"
"2.891248","191519","191519","191519","0.08556513488292694","0.08556513488292694","0.08556513488292694"
"2.911728","192873","192873","192873","0.10230379551649094","0.10230379551649094","0.10230379551649094"
"2.916848","193211","193211","193211","0.09636089205741882","0.09636089205741882","0.09636089205741882"
"2.921968","193553","193553","193553","0.07453235983848572","0.07453235983848572","0.07453235983848572"
"2.934256","194366","194366","194366","0.07362905889749527","0.07362905889749527","0.07362905889749527"
"2.951152","195484","195484","195484","0.0955466777086258","0.0955466777086258","0.0955466777086258"
"2.956784","195857","195857","195857","0.08541727066040039","0.08541727066040039","0.08541727066040039"
"3.02488","200371","200371","200371","0.06587520241737366","0.06587520241737366","0.06587520241737366"
"3.075056","203687","203687","203687","0.08190613240003586","0.08190613240003586","0.08190613240003586"
"3.132912","207517","207517","207517","0.0852057933807373","0.0852057933807373","0.0852057933807373"
"3.133936","207585","207585","207585","0.07792346924543381","0.07792346924543381","0.07792346924543381"
"3.143664","208230","208230","208230","0.0914732813835144","0.0914732813835144","0.0914732813835144"
"3.171312","210060","210060","210060","0.08060118556022644","0.08060118556022644","0.08060118556022644"
"3.194352","211588","211588","211588","0.051733098924160004","0.051733098924160004","0.051733098924160004"
"3.229168","213890","213890","213890","0.07075109332799911","0.07075109332799911","0.07075109332799911"
"3.233776","214196","214196","214196","0.07199660688638687","0.07199660688638687","0.07199660688638687"
"3.35768","222391","222391","222391","0.07310958206653595","0.07310958206653595","0.07310958206653595"
"3.359728","222525","222525","222525","0.0860079973936081","0.0860079973936081","0.0860079973936081"
"3.389936","224525","224525","224525","0.0871635228395462","0.0871635228395462","0.0871635228395462"
"3.390448","224558","224558","224558","0.07532478868961334","0.07532478868961334","0.07532478868961334"
"3.422704","226691","226691","226691","0.07013088464736938","0.07013088464736938","0.07013088464736938"
"3.430896","227235","227235","227235","0.08903133124113083","0.08903133124113083","0.08903133124113083"
"3.444208","228113","228113","228113","0.08549190312623978","0.08549190312623978","0.08549190312623978"
"3.45496","228829","228829","228829","0.07059846073389053","0.07059846073389053","0.07059846073389053"
"3.462128","229299","229299","229299","0.06253185868263245","0.06253185868263245","0.06253185868263245"
"3.465712","229536","229536","229536","0.04851716011762619","0.04851716011762619","0.04851716011762619"
"3.473392","230040","230040","230040","0.052432555705308914","0.052432555705308914","0.052432555705308914"
"3.558896","235701","235701","235701","0.06479702889919281","0.06479702889919281","0.06479702889919281"
"3.55992","235768","235768","235768","0.07700339704751968","0.07700339704751968","0.07700339704751968"
"3.626992","240205","240205","240205","0.09292930364608765","0.09292930364608765","0.09292930364608765"
"3.638768","240987","240987","240987","0.0823662281036377","0.0823662281036377","0.0823662281036377"
"3.704816","245363","245363","245363","0.08116619288921356","0.08116619288921356","0.08116619288921356"
"3.778032","250210","250210","250210","0.0655469000339508","0.0655469000339508","0.0655469000339508"
"3.807728","252174","252174","252174","0.10359121114015579","0.10359121114015579","0.10359121114015579"
"3.811824","252441","252441","252441","0.06416232883930206","0.06416232883930206","0.06416232883930206"
"3.821552","253087","253087","253087","0.09009423106908798","0.09009423106908798","0.09009423106908798"
"3.82616","253395","253395","253395","0.05052966624498367","0.05052966624498367","0.05052966624498367"
"3.855344","255326","255326","255326","0.08061117678880692","0.08061117678880692","0.08061117678880692"
"3.87224","256438","256438","256438","0.08754921704530716","0.08754921704530716","0.08754921704530716"
"3.874288","256571","256571","256571","0.11221195012331009","0.11221195012331009","0.11221195012331009"
"3.89784","258133","258133","258133","0.08655446767807007","0.08655446767807007","0.08655446767807007"
"3.909104","258880","258880","258880","0.07450909167528152","0.07450909167528152","0.07450909167528152"
"3.954672","261900","261900","261900","0.061092521995306015","0.061092521995306015","0.061092521995306015"
"3.991024","264306","264306","264306","0.10400586575269699","0.10400586575269699","0.10400586575269699"
"3.992048","264376","264376","264376","0.08089079707860947","0.08089079707860947","0.08089079707860947"
"4.002288","265052","265052","265052","0.10297761112451553","0.10297761112451553","0.10297761112451553"
"4.00536","265255","265255","265255","0.080420583486557","0.080420583486557","0.080420583486557"
"4.021232","266305","266305","266305","0.08969208598136902","0.08969208598136902","0.08969208598136902"
"4.022768","266410","266410","266410","0.0759388878941536","0.0759388878941536","0.0759388878941536"
"4.026352","266647","266647","266647","0.07212678343057632","0.07212678343057632","0.07212678343057632"
"4.056048","268612","268612","268612","0.07518668472766876","0.07518668472766876","0.07518668472766876"
"4.065776","269258","269258","269258","0.08177684992551804","0.08177684992551804","0.08177684992551804"
"4.086256","270615","270615","270615","0.10253715515136719","0.10253715515136719","0.10253715515136719"
"4.126192","273248","273248","273248","0.07376515120267868","0.07376515120267868","0.07376515120267868"
"4.14616","274572","274572","274572","0.08647201955318451","0.08647201955318451","0.08647201955318451"
"4.152816","275013","275013","275013","0.08378095924854279","0.08378095924854279","0.08378095924854279"
"4.15896","275423","275423","275423","0.06488513946533203","0.06488513946533203","0.06488513946533203"
"4.21016","278806","278806","278806","0.09752217680215836","0.09752217680215836","0.09752217680215836"
"4.2716","282880","282880","282880","0.09261276572942734","0.09261276572942734","0.09261276572942734"
"4.286448","283862","283862","283862","0.08023893088102341","0.08023893088102341","0.08023893088102341"
"4.2972","284579","284579","284579","0.08182080835103989","0.08182080835103989","0.08182080835103989"
"4.316656","285869","285869","285869","0.09866093099117279","0.09866093099117279","0.09866093099117279"
"4.3228","286275","286275","286275","0.09096606820821762","0.09096606820821762","0.09096606820821762"
